Serial_date,CO2 [ppmv]
1985-06-17-07:00,347.7101104
1985-06-24-21:30,347.1607036
1985-07-02-12:00,346.5376537
1985-07-10-02:30,345.7974175
1985-07-17-17:00,344.9297694
1985-07-25-07:30,343.9661317
1985-08-01-22:00,342.9590837
1985-08-09-12:30,341.9909613
1985-08-17-03:00,341.1756735
1985-08-24-17:30,341.3331258
1985-09-01-08:00,340.5863334
1985-09-08-22:30,340.8147235
1985-09-16-13:00,341.3369739
1985-09-24-03:30,342.0755214
1985-10-01-18:00,342.9383707
1985-10-09-08:30,343.839873
1985-10-16-23:00,344.7086623
1985-10-24-13:30,345.4829084
1985-11-01-04:00,346.1409236
1985-11-08-18:30,346.6844804
1985-11-16-09:00,347.1258695
1985-11-23-23:30,347.494868
1985-12-01-14:00,347.8207637
1985-12-09-04:30,348.1220874
1985-12-16-19:00,348.4126424
1985-12-24-09:30,348.69405
1986-01-01-00:00,348.9051652
1986-01-08-14:30,349.1339102
1986-01-16-05:00,349.3146717
1986-01-23-19:30,349.4326625
1986-01-31-10:00,349.4865576
1986-02-08-00:30,349.488974
1986-02-15-15:00,349.4674274
1986-02-23-05:30,349.4590335
1986-03-02-20:00,349.5018367
1986-03-10-10:30,349.6227249
1986-03-18-01:00,349.8300994
1986-03-25-15:30,350.4468387
1986-04-02-06:00,350.7029355
1986-04-09-20:30,350.9827569
1986-04-17-11:00,351.2590787
1986-04-25-01:30,351.4931261
1986-05-02-16:00,351.6485318
1986-05-10-06:30,351.6921739
1986-05-17-21:00,351.6004979
1986-05-25-11:30,351.3634001
1986-06-02-02:00,350.7068495
1986-06-09-16:30,350.438821
1986-06-17-07:00,350.1166157
1986-06-24-21:30,349.7225165
1986-07-02-12:00,349.2451543
1986-07-10-02:30,348.6754968
1986-07-17-17:00,348.0163833
1986-07-25-07:30,347.2965866
1986-08-01-22:00,346.5503406
1986-08-09-12:30,345.8228118
1986-08-17-03:00,345.1755911
1986-08-24-17:30,344.7117408
1986-09-01-08:00,343.4822642
1986-09-08-22:30,343.3616683
1986-09-16-13:00,343.5016109
1986-09-24-03:30,343.8805828
1986-10-01-18:00,344.4448826
1986-10-09-08:30,345.1300188
1986-10-16-23:00,345.8698369
1986-10-24-13:30,346.5938156
1986-11-01-04:00,347.2587411
1986-11-08-18:30,348.3402034
1986-11-16-09:00,348.7803496
1986-11-23-23:30,349.1048471
1986-12-01-14:00,349.3384274
1986-12-09-04:30,349.509159
1986-12-16-19:00,349.5491512
1986-12-24-09:30,349.2070384
1987-01-01-00:00,349.1259496
1987-01-08-14:30,349.2002595
1987-01-16-05:00,349.3102565
1987-01-23-19:30,349.4732101
1987-01-31-10:00,349.7396314
1987-02-08-00:30,350.0406224
1987-02-15-15:00,350.4040348
1987-02-23-05:30,350.8256501
1987-03-02-20:00,351.2943152
1987-03-10-10:30,351.7865622
1987-03-18-01:00,352.2564405
1987-03-25-15:30,352.7188899
1987-04-02-06:00,353.1102886
1987-04-09-20:30,353.6176959
1987-04-17-11:00,353.8593362
1987-04-25-01:30,353.9707944
1987-05-02-16:00,353.9656394
1987-05-10-06:30,353.7898648
1987-05-17-21:00,353.4692158
1987-05-25-11:30,353.013036
1987-06-02-02:00,352.4150723
1987-06-09-16:30,351.7250469
1987-06-17-07:00,350.2883526
1987-06-24-21:30,349.765126
1987-07-02-12:00,349.2434657
1987-07-10-02:30,348.6862727
1987-07-17-17:00,348.0573299
1987-07-25-07:30,347.3458753
1987-08-01-22:00,346.9831278
1987-08-09-12:30,346.1297816
1987-08-17-03:00,345.2857332
1987-08-24-17:30,344.5904274
1987-09-01-08:00,344.0777582
1987-09-08-22:30,343.8646049
1987-09-16-13:00,343.984961
1987-09-24-03:30,344.427086
1987-10-01-18:00,345.1263727
1987-10-09-08:30,345.9859394
1987-10-16-23:00,346.9194531
1987-10-24-13:30,347.8325837
1987-11-01-04:00,348.6656346
1987-11-08-18:30,349.3850224
1987-11-16-09:00,349.973993
1987-11-23-23:30,350.4487437
1987-12-01-14:00,350.8388408
1987-12-09-04:30,351.1514527
1987-12-16-19:00,351.4660754
1987-12-24-09:30,351.7808389
1988-01-01-00:00,352.1138096
1988-01-08-15:00,352.4484328
1988-01-16-06:00,352.7691727
1988-01-23-21:00,353.0473997
1988-01-31-12:00,353.2680746
1988-02-08-03:00,353.4200736
1988-02-15-18:00,353.5102783
1988-02-23-09:00,353.5689872
1988-03-02-00:00,353.6379374
1988-03-09-15:00,353.7599714
1988-03-17-06:00,353.9275495
1988-03-24-21:00,354.1864756
1988-04-01-12:00,354.517495
1988-04-09-03:00,354.8733016
1988-04-16-18:00,355.1910745
1988-04-24-09:00,355.4045095
1988-05-02-00:00,355.4711137
1988-05-09-15:00,355.3746273
1988-05-17-06:00,355.0109101
1988-05-24-21:00,354.6408128
1988-06-01-12:00,354.2220922
1988-06-09-03:00,353.7918817
1988-06-16-18:00,353.3608247
1988-06-24-09:00,352.9176028
1988-07-02-00:00,352.4438847
1988-07-09-15:00,351.914041
1988-07-17-06:00,351.3120044
1988-07-24-21:00,350.6494171
1988-08-01-12:00,349.9506033
1988-08-09-03:00,349.2580109
1988-08-16-18:00,348.7092953
1988-08-24-09:00,348.1402934
1988-09-01-00:00,347.9144052
1988-09-08-15:00,347.7279693
1988-09-16-06:00,347.7916937
1988-09-23-21:00,348.1098309
1988-10-01-12:00,348.6518933
1988-10-09-03:00,349.3636912
1988-10-16-18:00,350.1782967
